kernel,D,L,launch_id,launch_kernel_name,phase,gpu_time_duration,sm_util_pct,dram_util_pct,achieved_occupancy_pct,warp_threads_per_inst,dram_bytes,flops,registers_per_thread,shared_mem_per_block_bytes,block_size,l1_hit_rate_pct,l2_hit_rate_pct
warp_shuffle,1,1024,0,"void phase1_scan<WarpShuffle>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,5056.0,0.16,,47.48,,,,20.0,17792.0,1024.0,,
warp_shuffle,1,1024,1,"void phase2_scan_totals<WarpShuffle>(float *, float *, int)",phase2,4608.0,0.14,,46.28,,,,22.0,17664.0,1024.0,,
warp_shuffle,1,1024,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,2752.0,0.03,,47.51,,,,16.0,1024.0,1024.0,,
blelloch,1,1024,0,"void phase1_scan<Blelloch>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,9664.0,0.25,,49.62,,,,25.0,17536.0,1024.0,,
blelloch,1,1024,1,"void phase2_scan_totals<Blelloch>(float *, float *, int)",phase2,4288.0,0.1,,47.85,,,,20.0,17408.0,1024.0,,
blelloch,1,1024,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,2784.0,0.03,,47.57,,,,16.0,1024.0,1024.0,,
hillis_steele,1,1024,0,"void phase1_scan<HillisSteele>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,6976.0,0.28,,48.84,,,,16.0,17536.0,1024.0,,
hillis_steele,1,1024,1,"void phase2_scan_totals<HillisSteele>(float *, float *, int)",phase2,3904.0,0.08,,47.39,,,,18.0,17408.0,1024.0,,
hillis_steele,1,1024,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,2752.0,0.03,,47.51,,,,16.0,1024.0,1024.0,,
warp_shuffle,1,2048,0,"void phase1_scan<WarpShuffle>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,4896.0,0.33,,47.7,,,,20.0,17792.0,1024.0,,
warp_shuffle,1,2048,1,"void phase2_scan_totals<WarpShuffle>(float *, float *, int)",phase2,4544.0,0.14,,47.86,,,,22.0,17664.0,1024.0,,
warp_shuffle,1,2048,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,3904.0,0.08,,43.3,,,,16.0,1024.0,1024.0,,
