kernel,D,L,chunk_size,time_ms,correct,throughput_GB_s_timing,sm_util_pct,dram_util_pct,achieved_occupancy_pct,resident_warps_est,warp_efficiency_pct,registers_per_thread_peak,shared_mem_per_block_peak_bytes,block_size_peak,dram_bytes,flops,ai_flop_per_byte,gflops,dram_bw_gb_s,bandwidth_util_pct,l1_hit_rate_pct,l2_hit_rate_pct,roofline_bound,roofline_limit_gflops,roofline_efficiency_pct,utilization_bound
warp_shuffle,1,1024,1024,0.01536,1,0.8,,,,,,,,,,,,,,,,,,,,
blelloch,1,1024,1024,0.016384,1,0.75,,,,,,,,,,,,,,,,,,,,
hillis_steele,1,1024,1024,0.013312,1,0.923077,,,,,,,,,,,,,,,,,,,,
warp_shuffle,1,2048,1024,0.013312,1,1.846154,,,,,,,,,,,,,,,,,,,,
blelloch,1,2048,1024,0.017408,1,1.411765,,,,,,,,,,,,,,,,,,,,
hillis_steele,1,2048,1024,0.014336,1,1.714286,,,,,,,,,,,,,,,,,,,,
warp_shuffle,1,4096,1024,0.013312,1,3.692308,,,,,,,,,,,,,,,,,,,,
blelloch,1,4096,1024,0.017408,1,2.823529,,,,,,,,,,,,,,,,,,,,
hillis_steele,1,4096,1024,0.01536,1,3.2,,,,,,,,,,,,,,,,,,,,
warp_shuffle,1,8192,1024,0.013312,1,7.384615,,,,,,,,,,,,,,,,,,,,
blelloch,1,8192,1024,0.017408,1,5.647059,,,,,,,,,,,,,,,,,,,,
hillis_steele,1,8192,1024,0.01536,1,6.4,,,,,,,,,,,,,,,,,,,,
warp_shuffle,1,16384,1024,0.013312,1,14.769231,,,,,,,,,,,,,,,,,,,,
blelloch,1,16384,1024,0.018432,1,10.666666,,,,,,,,,,,,,,,,,,,,
hillis_steele,1,16384,1024,0.01536,1,12.8,,,,,,,,,,,,,,,,,,,,
warp_shuffle,1,32768,1024,0.016832,1,23.361217,,,,,,,,,,,,,,,,,,,,
blelloch,1,32768,1024,0.020928,1,18.788992,,,,,,,,,,,,,,,,,,,,
hillis_steele,1,32768,1024,0.01952,1,20.144263,,,,,,,,,,,,,,,,,,,,
warp_shuffle,1,65536,1024,0.019648,1,40.026057,,,,,,,,,,,,,,,,,,,,
blelloch,1,65536,1024,0.026528,1,29.645355,,,,,,,,,,,,,,,,,,,,
hillis_steele,1,65536,1024,0.023936,1,32.855615,,,,,,,,,,,,,,,,,,,,
warp_shuffle,1,131072,1024,0.02096,1,75.041223,,,,,,,,,,,,,,,,,,,,
blelloch,1,131072,1024,0.029184,1,53.894736,,,,,,,,,,,,,,,,,,,,
hillis_steele,1,131072,1024,0.023072,1,68.171982,,,,,,,,,,,,,,,,,,,,
warp_shuffle,16,1024,1024,0.012288,1,15.999999,,,,,,,,,,,,,,,,,,,,
blelloch,16,1024,1024,0.016384,1,12.0,,,,,,,,,,,,,,,,,,,,
hillis_steele,16,1024,1024,0.014336,1,13.714286,,,,,,,,,,,,,,,,,,,,
warp_shuffle,16,2048,1024,0.01552,1,25.336083,,,,,,,,,,,,,,,,,,,,
blelloch,16,2048,1024,0.02096,1,18.760306,,,,,,,,,,,,,,,,,,,,
hillis_steele,16,2048,1024,0.022656,1,17.355933,,,,,,,,,,,,,,,,,,,,
warp_shuffle,16,4096,1024,0.021504,1,36.571429,,,,,,,,,,,,,,,,,,,,
blelloch,16,4096,1024,0.025984,1,30.266009,,,,,,,,,,,,,,,,,,,,
hillis_steele,16,4096,1024,0.021792,1,36.088105,,,,,,,,,,,,,,,,,,,,
warp_shuffle,16,8192,1024,0.019616,1,80.182707,,,,,,,,,,,,,,,,,,,,
blelloch,16,8192,1024,0.026432,1,59.506053,,,,,,,,,,,,,,,,,,,,
hillis_steele,16,8192,1024,0.024416,1,64.419398,,,,,,,,,,,,,,,,,,,,
warp_shuffle,16,16384,1024,0.023456,1,134.11187,,,,,,,,,,,,,,,,,,,,
blelloch,16,16384,1024,0.033856,1,92.914932,,,,,,,,,,,,,,,,,,,,
hillis_steele,16,16384,1024,0.028416,1,110.702702,,,,,,,,,,,,,,,,,,,,
warp_shuffle,16,32768,1024,0.02832,1,222.155936,,,,,,,,,,,,,,,,,,,,
blelloch,16,32768,1024,0.041184,1,152.764566,,,,,,,,,,,,,,,,,,,,
hillis_steele,16,32768,1024,0.032256,1,195.047621,,,,,,,,,,,,,,,,,,,,
warp_shuffle,16,65536,1024,0.032864,1,382.878279,,,,,,,,,,,,,,,,,,,,
blelloch,16,65536,1024,0.064,1,196.607991,,,,,,,,,,,,,,,,,,,,
hillis_steele,16,65536,1024,0.046688,1,269.510614,,,,,,,,,,,,,,,,,,,,
warp_shuffle,16,131072,1024,0.051296,1,490.60013,,,,,,,,,,,,,,,,,,,,
