kernel,D,L,launch_id,launch_kernel_name,phase,gpu_time_duration,sm_util_pct,dram_util_pct,achieved_occupancy_pct,warp_threads_per_inst,dram_bytes,flops,dram_bytes_source,flops_source,registers_per_thread,shared_mem_per_block_bytes,block_size,l1_hit_rate_pct,l2_hit_rate_pct
warp_shuffle,1,1024,0,"void phase1_scan<WarpShuffle>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,4992.0,0.16,0.18,47.75,,14464.0,17793.0,ncu,ncu,20.0,17792.0,1024.0,,
warp_shuffle,1,1024,1,"void phase2_scan_totals<WarpShuffle>(float *, float *, int)",phase2,4416.0,0.14,0.09,48.22,,5888.0,17793.0,ncu,ncu,22.0,17664.0,1024.0,,
warp_shuffle,1,1024,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,2656.0,0.03,0.07,48.36,,2944.0,0.0,ncu,ncu,16.0,1024.0,1024.0,,
blelloch,1,1024,0,"void phase1_scan<Blelloch>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,9760.0,0.25,0.1,49.29,,16000.0,9210.0,ncu,ncu,25.0,17536.0,1024.0,,
blelloch,1,1024,1,"void phase2_scan_totals<Blelloch>(float *, float *, int)",phase2,4256.0,0.1,0.06,48.23,,4096.0,3.0,ncu,ncu,20.0,17408.0,1024.0,,
blelloch,1,1024,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,2624.0,0.03,0.07,48.29,,2944.0,0.0,ncu,ncu,16.0,1024.0,1024.0,,
hillis_steele,1,1024,0,"void phase1_scan<HillisSteele>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,7008.0,0.28,0.13,48.99,,14720.0,27651.0,ncu,ncu,16.0,17536.0,1024.0,,
hillis_steele,1,1024,1,"void phase2_scan_totals<HillisSteele>(float *, float *, int)",phase2,3872.0,0.08,0.07,47.87,,3968.0,0.0,ncu,ncu,18.0,17408.0,1024.0,,
hillis_steele,1,1024,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,2752.0,0.03,0.07,48.09,,2944.0,0.0,ncu,ncu,16.0,1024.0,1024.0,,
warp_shuffle,1,2048,0,"void phase1_scan<WarpShuffle>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,4896.0,0.32,0.29,47.58,,22656.0,35586.0,ncu,ncu,20.0,17792.0,1024.0,,
warp_shuffle,1,2048,1,"void phase2_scan_totals<WarpShuffle>(float *, float *, int)",phase2,4512.0,0.14,0.08,48.23,,5760.0,17793.0,ncu,ncu,22.0,17664.0,1024.0,,
warp_shuffle,1,2048,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,3616.0,0.08,0.2,47.34,,11136.0,3072.0,ncu,ncu,16.0,1024.0,1024.0,,
blelloch,1,2048,0,"void phase1_scan<Blelloch>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,9568.0,0.5,0.16,49.3,,24192.0,18420.0,ncu,ncu,25.0,17536.0,1024.0,,
blelloch,1,2048,1,"void phase2_scan_totals<Blelloch>(float *, float *, int)",phase2,4608.0,0.12,0.06,48.35,,4096.0,12.0,ncu,ncu,20.0,17408.0,1024.0,,
blelloch,1,2048,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,3584.0,0.08,0.2,47.46,,11264.0,3072.0,ncu,ncu,16.0,1024.0,1024.0,,
hillis_steele,1,2048,0,"void phase1_scan<HillisSteele>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,6688.0,0.57,0.21,49.08,,22912.0,55302.0,ncu,ncu,16.0,17536.0,1024.0,,
hillis_steele,1,2048,1,"void phase2_scan_totals<HillisSteele>(float *, float *, int)",phase2,4224.0,0.11,0.06,48.07,,3712.0,3.0,ncu,ncu,18.0,17408.0,1024.0,,
hillis_steele,1,2048,2,"phase3_propagate(float *, float *, const float *, const float *, int, int)",phase3,3584.0,0.08,0.2,47.34,,11136.0,3072.0,ncu,ncu,16.0,1024.0,1024.0,,
warp_shuffle,1,4096,0,"void phase1_scan<WarpShuffle>(const float *, const float *, float *, float *, float *, float *, int, int)",phase1,4736.0,0.65,0.51,47.58,,39040.0,71172.0,ncu,ncu,20.0,17792.0,1024.0,,
warp_shuffle,1,4096,1,"void phase2_scan_totals<WarpShuffle>(float *, float *, int)",phase2,4416.0,0.14,0.08,48.22,,5760.0,17793.0,ncu,ncu,22.0,17664.0,1024.0,,
