kernel,D,L,chunk_size,time_ms,correct,throughput_GB_s_timing,sm_util_pct,dram_util_pct,achieved_occupancy_pct,resident_warps_est,warp_efficiency_pct,registers_per_thread_peak,shared_mem_per_block_peak_bytes,block_size_peak,dram_bytes,dram_bytes_source,flops,flops_source,ai_flop_per_byte,gflops,dram_bw_gb_s,bandwidth_util_pct,l1_hit_rate_pct,l2_hit_rate_pct,roofline_bound,roofline_limit_gflops,roofline_efficiency_pct,utilization_bound
warp_shuffle,1,1024,1024,0.012288,1,1.0,0.12405835543766579,0.12283819628647215,48.056339522546416,30.756057294429706,,22.0,17792.0,1024.0,23296.0,ncu,35586.0,ncu,1.527558379120879,2.89599609375,1.8958333333333333,0.12283819628647215,,,memory-bound,3114.6915350274726,0.0929785842733366,mixed
blelloch,1,1024,1024,0.016384,1,0.75,0.1769423076923077,0.08503846153846153,48.861192307692306,31.271163076923077,,25.0,17536.0,1024.0,23040.0,ncu,9213.0,ncu,0.39986979166666664,0.56231689453125,1.40625,0.08503846153846153,,,memory-bound,815.3345052083333,0.06896763119176066,mixed
hillis_steele,1,1024,1024,0.013312,1,0.923077,0.1727230046948357,0.10084507042253521,48.49018779342723,31.033720187793428,,18.0,17536.0,1024.0,21632.0,ncu,27651.0,ncu,1.2782451923076923,2.0771484375000004,1.6250000000000002,0.10084507042253521,,,memory-bound,2606.3419471153848,0.07969592937714567,mixed
warp_shuffle,1,2048,1024,0.013312,1,1.846154,0.19100737100737103,0.19226044226044225,47.73855036855037,30.552672235872237,,22.0,17792.0,1024.0,39552.0,ncu,56451.0,ncu,1.4272603155339805,4.240609975961539,2.9711538461538463,0.19226044226044225,,,memory-bound,2910.1837833737864,0.1457162259025918,mixed
blelloch,1,2048,1024,0.017408,1,1.411765,0.31664864864864867,0.14212612612612616,48.68219819819819,31.156606846846845,,25.0,17536.0,1024.0,39552.0,ncu,21504.0,ncu,0.5436893203883495,1.2352941176470587,2.2720588235294117,0.14212612612612616,,,memory-bound,1108.5825242718447,0.11143005510198192,mixed
hillis_steele,1,2048,1024,0.014336,1,1.714286,0.31481236203090507,0.16381898454746138,48.355496688741724,30.947517880794702,,18.0,17536.0,1024.0,37760.0,ncu,58377.0,ncu,1.546001059322034,4.072056361607143,2.6339285714285716,0.16381898454746138,,,memory-bound,3152.296159957627,0.1291774679464724,mixed
warp_shuffle,1,4096,1024,0.013312,1,3.692308,0.3461654135338346,0.35278195488721803,47.628596491228066,30.48230175438596,,22.0,17792.0,1024.0,72448.0,ncu,98181.0,ncu,1.3551926899293287,7.375375600961539,5.4423076923076925,0.35278195488721803,,,memory-bound,2763.2378947659013,0.26691062738144644,mixed
blelloch,1,4096,1024,0.017408,1,2.823529,0.6058536585365853,0.25,48.62487804878049,31.119921951219514,,25.0,17536.0,1024.0,72320.0,ncu,46086.0,ncu,0.6372511061946903,2.647403492647059,4.154411764705882,0.25,,,memory-bound,1299.3550055309736,0.20374751175605113,mixed
hillis_steele,1,4096,1024,0.01536,1,3.2,0.6021720430107527,0.2965806451612903,48.358645161290326,30.94953290322581,,18.0,17536.0,1024.0,70528.0,ncu,119835.0,ncu,1.6991124092558985,7.801757812499999,4.591666666666666,0.2965806451612903,,,memory-bound,3464.490202472777,0.22519208762465256,mixed
warp_shuffle,1,8192,1024,0.013312,1,7.384615,0.6666165413533836,0.6840852130325814,47.62228070175438,30.4782596491228,,22.0,17792.0,1024.0,137856.0,ncu,181641.0,ncu,1.3176140320334262,13.64490685096154,10.355769230769232,0.6840852130325814,,,memory-bound,2686.615011316156,0.5078847096993248,mixed
blelloch,1,8192,1024,0.017408,1,5.647059,1.151896551724138,0.46696551724137925,48.69631034482759,31.165638620689656,,25.0,17536.0,1024.0,137856.0,ncu,95250.0,ncu,0.6909383704735376,5.471622242647059,7.919117647058823,0.46696551724137925,,,memory-bound,1408.8233373955431,0.38838242506418946,mixed
hillis_steele,1,8192,1024,0.01536,1,6.4,1.1825987525987525,0.5723284823284823,48.325259875259874,30.92816632016632,,18.0,17536.0,1024.0,136064.0,ncu,242763.0,ncu,1.7841824435559737,15.804882812499999,8.858333333333333,0.5723284823284823,,,memory-bound,3637.94800241063,0.4344449893738761,mixed
warp_shuffle,1,16384,1024,0.013312,1,14.769231,1.2279058823529412,1.2648705882352942,47.5923294117647,30.459090823529408,,22.0,17792.0,1024.0,269184.0,ncu,348561.0,ncu,1.2948800820256776,26.18396935096154,20.221153846153847,1.2648705882352942,,,memory-bound,2640.2604872503566,0.9917191685215226,mixed
blelloch,1,16384,1024,0.018432,1,10.666666,2.195996649916248,0.8978056951423786,48.71236180904523,31.175911557788947,,25.0,17536.0,1024.0,268928.0,ncu,193578.0,ncu,0.7198134816753927,10.502278645833332,14.590277777777777,0.8978056951423786,,,memory-bound,1467.6996891361257,0.7155604599204403,mixed
hillis_steele,1,16384,1024,0.01536,1,12.8,2.19296,1.06172,48.41594,30.9862016,,18.0,17536.0,1024.0,267392.0,ncu,488643.0,ncu,1.8274406115366204,31.812695312499997,17.40833333333333,1.06172,,,memory-bound,3726.151406923169,0.8537681870197809,mixed
warp_shuffle,1,32768,1024,0.020704,1,18.992273,2.486105769230769,2.581370192307692,47.73423076923076,30.549907692307688,,22.0,17792.0,1024.0,531584.0,ncu,682401.0,ncu,1.283712451842042,32.95986282843895,25.675425038639876,2.581370192307692,,,memory-bound,2617.4896893059235,1.2592165296047022,mixed
blelloch,1,32768,1024,0.020544,1,19.140187,4.249185667752443,1.716351791530945,48.795618892508145,31.229196091205214,,25.0,17536.0,1024.0,531328.0,ncu,390234.0,ncu,0.7344502830643218,18.99503504672897,25.862928348909655,1.716351791530945,,,memory-bound,1497.5441271681523,1.2684123761113122,mixed
hillis_steele,1,32768,1024,0.020864,1,18.846625,4.35692,2.09878,48.60654000000001,31.108185600000006,,18.0,17536.0,1024.0,529792.0,ncu,980451.0,ncu,1.8506338336554724,46.992475076687114,25.392638036809814,2.09878,,,memory-bound,3773.442386823508,1.2453476231883185,mixed
warp_shuffle,1,65536,1024,0.01936,1,40.621487,4.815358851674641,4.937057416267943,47.66191387559809,30.503624880382777,,22.0,17792.0,1024.0,1056512.0,ncu,1350081.0,ncu,1.2778662239520233,69.73558884297522,54.57190082644629,4.937057416267943,,,memory-bound,2605.5692306381757,2.6764051410714216,mixed
blelloch,1,65536,1024,0.025472,1,30.874372,8.381499999999999,3.3662031249999997,48.763359375,31.20855,,25.0,17536.0,1024.0,1056128.0,ncu,783546.0,ncu,0.741904390376924,30.761070979899493,41.462311557788944,3.3662031249999997,,,memory-bound,1512.743051978548,2.0334630484447738,compute-bound
hillis_steele,1,65536,1024,0.022944,1,34.276151,8.490773694390715,4.063539651837524,48.65152804642166,31.136977949709863,,18.0,17536.0,1024.0,1054592.0,ncu,1964163.0,ncu,1.8624861557834689,85.60682531380755,45.96373779637378,4.063539651837524,,,memory-bound,3797.6092716424932,2.254229416202736,mixed
warp_shuffle,1,131072,1024,0.020448,1,76.920191,8.171987951807228,8.38194779116466,53.88146586345382,34.48413815261044,,22.0,17792.0,1024.0,2106240.0,ncu,2685441.0,ncu,1.2749928783044668,131.33025234741783,103.00469483568074,8.38194779116466,,,memory-bound,2599.710478862808,5.05172608316237,mixed
blelloch,1,131072,1024,0.02912,1,54.013187,12.550776470588236,5.002964705882354,55.665611764705886,35.62599152941177,,25.0,17536.0,1024.0,2106112.0,ncu,1570170.0,ncu,0.7455301522426158,53.92067307692308,72.32527472527474,5.002964705882354,,,memory-bound,1520.1359804226936,3.5470953764234783,compute-bound
