kernel,D,L,phase1_time,phase2_time,phase3_time,other_time,total_time,phase1_pct,phase2_pct,phase3_pct,other_pct,phase1_launches,phase2_launches,phase3_launches,other_launches
warp_shuffle,1,1024,4992.0,4416.0,2656.0,0.0,12064.0,41.37931034482759,36.60477453580902,22.015915119363395,0.0,1,1,1,0
blelloch,1,1024,9760.0,4256.0,2624.0,0.0,16640.0,58.65384615384615,25.576923076923077,15.76923076923077,0.0,1,1,1,0
hillis_steele,1,1024,7008.0,3872.0,2752.0,0.0,13632.0,51.40845070422535,28.4037558685446,20.187793427230048,0.0,1,1,1,0
warp_shuffle,1,2048,4896.0,4512.0,3616.0,0.0,13024.0,37.59213759213759,34.643734643734646,27.764127764127764,0.0,1,1,1,0
blelloch,1,2048,9568.0,4608.0,3584.0,0.0,17760.0,53.873873873873876,25.945945945945947,20.18018018018018,0.0,1,1,1,0
hillis_steele,1,2048,6688.0,4224.0,3584.0,0.0,14496.0,46.136865342163354,29.13907284768212,24.724061810154524,0.0,1,1,1,0
warp_shuffle,1,4096,4736.0,4416.0,3616.0,0.0,12768.0,37.092731829573935,34.58646616541353,28.32080200501253,0.0,1,1,1,0
blelloch,1,4096,9856.0,4928.0,3584.0,0.0,18368.0,53.65853658536585,26.829268292682926,19.51219512195122,0.0,1,1,1,0
hillis_steele,1,4096,6720.0,4544.0,3616.0,0.0,14880.0,45.16129032258065,30.537634408602152,24.301075268817204,0.0,1,1,1,0
warp_shuffle,1,8192,4832.0,4224.0,3712.0,0.0,12768.0,37.84461152882206,33.08270676691729,29.072681704260653,0.0,1,1,1,0
blelloch,1,8192,9696.0,5184.0,3680.0,0.0,18560.0,52.241379310344826,27.93103448275862,19.82758620689655,0.0,1,1,1,0
hillis_steele,1,8192,7040.0,4640.0,3712.0,0.0,15392.0,45.73804573804574,30.145530145530145,24.116424116424117,0.0,1,1,1,0
warp_shuffle,1,16384,4992.0,4768.0,3840.0,0.0,13600.0,36.705882352941174,35.05882352941177,28.235294117647058,0.0,1,1,1,0
blelloch,1,16384,9600.0,5696.0,3808.0,0.0,19104.0,50.25125628140704,29.81574539363484,19.932998324958124,0.0,1,1,1,0
hillis_steele,1,16384,6944.0,5248.0,3808.0,0.0,16000.0,43.4,32.8,23.8,0.0,1,1,1,0
warp_shuffle,1,32768,5024.0,4448.0,3840.0,0.0,13312.0,37.74038461538461,33.41346153846154,28.846153846153847,0.0,1,1,1,0
blelloch,1,32768,9728.0,6048.0,3872.0,0.0,19648.0,49.5114006514658,30.781758957654723,19.706840390879478,0.0,1,1,1,0
hillis_steele,1,32768,6944.0,5312.0,3744.0,0.0,16000.0,43.4,33.2,23.4,0.0,1,1,1,0
warp_shuffle,1,65536,5120.0,4192.0,4064.0,0.0,13376.0,38.27751196172249,31.339712918660286,30.382775119617225,0.0,1,1,1,0
blelloch,1,65536,10144.0,6272.0,4064.0,0.0,20480.0,49.53125,30.625,19.84375,0.0,1,1,1,0
hillis_steele,1,65536,7200.0,5344.0,4000.0,0.0,16544.0,43.520309477756285,32.30174081237911,24.177949709864603,0.0,1,1,1,0
warp_shuffle,1,131072,6560.0,4512.0,4864.0,0.0,15936.0,41.16465863453815,28.313253012048193,30.522088353413654,0.0,1,1,1,0
blelloch,1,131072,15456.0,6944.0,4800.0,0.0,27200.0,56.8235294117647,25.529411764705884,17.647058823529413,0.0,1,1,1,0
hillis_steele,1,131072,10016.0,5888.0,4960.0,0.0,20864.0,48.00613496932515,28.220858895705522,23.773006134969325,0.0,1,1,1,0
warp_shuffle,16,1024,4960.0,4160.0,2432.0,0.0,11552.0,42.93628808864266,36.011080332409975,21.05263157894737,0.0,1,1,1,0
blelloch,16,1024,9664.0,4128.0,2432.0,0.0,16224.0,59.566074950690336,25.443786982248522,14.990138067061144,0.0,1,1,1,0
hillis_steele,16,1024,6880.0,3584.0,2400.0,0.0,12864.0,53.482587064676615,27.860696517412936,18.65671641791045,0.0,1,1,1,0
warp_shuffle,16,2048,4960.0,4160.0,3776.0,0.0,12896.0,38.46153846153846,32.25806451612903,29.280397022332505,0.0,1,1,1,0
blelloch,16,2048,9664.0,4320.0,3808.0,0.0,17792.0,54.31654676258993,24.280575539568346,21.402877697841728,0.0,1,1,1,0
hillis_steele,16,2048,6944.0,3904.0,3872.0,0.0,14720.0,47.17391304347826,26.52173913043478,26.304347826086957,0.0,1,1,1,0
warp_shuffle,16,4096,5184.0,4288.0,3936.0,0.0,13408.0,38.66348448687351,31.98090692124105,29.355608591885442,0.0,1,1,1,0
blelloch,16,4096,9888.0,4896.0,3936.0,0.0,18720.0,52.82051282051282,26.153846153846153,21.025641025641026,0.0,1,1,1,0
hillis_steele,16,4096,7136.0,4416.0,3936.0,0.0,15488.0,46.074380165289256,28.512396694214875,25.41322314049587,0.0,1,1,1,0
warp_shuffle,16,8192,6752.0,4288.0,4736.0,0.0,15776.0,42.79918864097363,27.18052738336714,30.02028397565923,0.0,1,1,1,0
blelloch,16,8192,15168.0,5248.0,4768.0,0.0,25184.0,60.2287166454892,20.838627700127066,18.932655654383737,0.0,1,1,1,0
hillis_steele,16,8192,9920.0,4736.0,4672.0,0.0,19328.0,51.324503311258276,24.503311258278146,24.172185430463575,0.0,1,1,1,0
warp_shuffle,16,16384,9248.0,4352.0,6208.0,0.0,19808.0,46.68820678513732,21.970920840064622,31.34087237479806,0.0,1,1,1,0
blelloch,16,16384,21088.0,5664.0,6176.0,0.0,32928.0,64.0427599611273,17.20116618075802,18.756073858114675,0.0,1,1,1,0
hillis_steele,16,16384,13408.0,5120.0,6112.0,0.0,24640.0,54.41558441558441,20.77922077922078,24.805194805194805,0.0,1,1,1,0
warp_shuffle,16,32768,12192.0,4448.0,7936.0,0.0,24576.0,49.609375,18.098958333333332,32.291666666666664,0.0,1,1,1,0
blelloch,16,32768,31680.0,6144.0,8256.0,0.0,46080.0,68.75,13.333333333333334,17.916666666666668,0.0,1,1,1,0
hillis_steele,16,32768,19392.0,5216.0,8000.0,0.0,32608.0,59.47006869479882,15.996074582924436,24.53385672227674,0.0,1,1,1,0
warp_shuffle,16,65536,19392.0,4384.0,12224.0,0.0,36000.0,53.86666666666667,12.177777777777777,33.955555555555556,0.0,1,1,1,0
blelloch,16,65536,58784.0,6368.0,12512.0,0.0,77664.0,75.69015245158631,8.199423156159868,16.11042439225381,0.0,1,1,1,0
hillis_steele,16,65536,34208.0,5504.0,12320.0,0.0,52032.0,65.74415744157442,10.578105781057811,23.677736777367773,0.0,1,1,1,0
warp_shuffle,16,131072,33856.0,4416.0,19680.0,0.0,57952.0,58.42076200993926,7.620099392600773,33.95913859745997,0.0,1,1,1,0
blelloch,16,131072,107712.0,6880.0,19680.0,0.0,134272.0,80.21925643469972,5.123927550047664,14.656816015252621,0.0,1,1,1,0
hillis_steele,16,131072,61376.0,5888.0,19328.0,0.0,86592.0,70.87952697708795,6.7997043606799705,22.320768662232076,0.0,1,1,1,0
warp_shuffle,64,1024,5216.0,4384.0,2496.0,0.0,12096.0,43.12169312169312,36.24338624338624,20.634920634920636,0.0,1,1,1,0
blelloch,64,1024,9824.0,4160.0,2624.0,0.0,16608.0,59.152215799614645,25.048169556840076,15.79961464354528,0.0,1,1,1,0
hillis_steele,64,1024,7232.0,3968.0,2624.0,0.0,13824.0,52.31481481481482,28.703703703703702,18.98148148148148,0.0,1,1,1,0
warp_shuffle,64,2048,6912.0,4256.0,4416.0,0.0,15584.0,44.35318275154004,27.310061601642712,28.33675564681725,0.0,1,1,1,0
blelloch,64,2048,15232.0,4384.0,4480.0,0.0,24096.0,63.213811420982736,18.193891102257638,18.59229747675963,0.0,1,1,1,0
hillis_steele,64,2048,9952.0,4000.0,4320.0,0.0,18272.0,54.46584938704028,21.891418563922944,23.642732049036777,0.0,1,1,1,0
