Sequential SSM Prefix Scan Baseline
B=1  warmup=2  repeat=5 (median)
input:  /content/EE451_ParallelPrefixScanProject/SyntheticData/inputs
output: /content/EE451_ParallelPrefixScanProject/SequentialBaseline/SequentialData

L          D      time_ms        BW_GB/s     
----------------------------------------------
1024       1      0.005          2.66        
1024       16     0.015          12.69       
1024       64     0.054          14.52       
1024       256    0.210          14.98       
1024       512    0.418          15.04       
2048       1      0.010          2.47        
2048       16     0.046          8.63        
2048       64     0.134          11.73       
2048       256    0.569          11.06       
2048       512    0.826          15.23       
4096       1      0.020          2.52        
4096       16     0.089          8.84        
4096       64     0.269          11.71       
4096       256    1.142          11.01       
4096       512    1.824          13.79       
8192       1      0.039          2.50        
8192       16     0.134          11.74       
8192       64     0.560          11.24       
8192       256    2.565          9.81        
8192       512    3.956          12.72       
16384      1      0.073          2.68        
16384      16     0.268          11.72       
16384      64     1.111          11.33       
16384      256    5.678          8.86        
16384      512    8.851          11.37       
32768      1      0.147          2.68        
32768      16     0.559          11.26       
32768      64     2.277          11.05       
32768      256    9.882          10.19       
32768      512    19.304         10.43       
65536      1      0.304          2.59        
65536      16     1.117          11.27       
65536      64     5.172          9.73        
65536      256    19.394         10.38       
65536      512    39.692         10.14       
131072     1      0.599          2.63        
131072     16     2.242          11.22       
131072     64     8.822          11.41       
131072     256    38.549         10.45       
131072     512    74.036         10.88       

Done. Reference outputs saved to /content/EE451_ParallelPrefixScanProject/SequentialBaseline/SequentialData/
Sequential timing saved to CSV.
