kernel,D,L,time_ms,correct,throughput_GB_s
warp_shuffle,1,1024,0.012288,1,1.000000
warp_shuffle,1,2048,0.013312,1,1.846154
warp_shuffle,1,4096,0.013312,1,3.692308
warp_shuffle,1,8192,0.013312,1,7.384615
warp_shuffle,1,16384,0.013312,1,14.769231
warp_shuffle,1,32768,0.020704,1,18.992273
warp_shuffle,1,65536,0.019360,1,40.621487
warp_shuffle,1,131072,0.020448,1,76.920191
blelloch,1,1024,0.016384,1,0.750000
blelloch,1,2048,0.017408,1,1.411765
blelloch,1,4096,0.017408,1,2.823529
blelloch,1,8192,0.017408,1,5.647059
blelloch,1,16384,0.018432,1,10.666666
blelloch,1,32768,0.020544,1,19.140187
blelloch,1,65536,0.025472,1,30.874372
blelloch,1,131072,0.029120,1,54.013187
hillis_steele,1,1024,0.013312,1,0.923077
hillis_steele,1,2048,0.014336,1,1.714286
hillis_steele,1,4096,0.015360,1,3.200000
hillis_steele,1,8192,0.015360,1,6.400000
hillis_steele,1,16384,0.015360,1,12.800000
hillis_steele,1,32768,0.020864,1,18.846625
hillis_steele,1,65536,0.022944,1,34.276151
hillis_steele,1,131072,0.024960,1,63.015384
warp_shuffle,16,1024,0.013312,1,14.769231
warp_shuffle,16,2048,0.017504,1,22.464352
warp_shuffle,16,4096,0.020768,1,37.867489
warp_shuffle,16,8192,0.020224,1,77.772154
warp_shuffle,16,16384,0.024128,1,130.376661
warp_shuffle,16,32768,0.028768,1,218.696335
warp_shuffle,16,65536,0.031904,1,394.399188
warp_shuffle,16,131072,0.050432,1,499.005073
blelloch,16,1024,0.016384,1,12.000000
blelloch,16,2048,0.024736,1,15.896507
blelloch,16,4096,0.025920,1,30.340741
blelloch,16,8192,0.028704,1,54.795985
blelloch,16,16384,0.034016,1,92.477898
blelloch,16,32768,0.045664,1,137.777151
blelloch,16,65536,0.066784,1,188.412069
blelloch,16,131072,0.111776,1,225.145144
hillis_steele,16,1024,0.014336,1,13.714286
hillis_steele,16,2048,0.019008,1,20.686869
hillis_steele,16,4096,0.022144,1,35.514452
hillis_steele,16,8192,0.022112,1,71.131691
hillis_steele,16,16384,0.026944,1,116.750593
hillis_steele,16,32768,0.035200,1,178.734546
hillis_steele,16,65536,0.048384,1,260.063494
hillis_steele,16,131072,0.074112,1,339.564776
warp_shuffle,64,1024,0.021184,1,37.123868
warp_shuffle,64,2048,0.019712,1,79.792211
warp_shuffle,64,4096,0.022208,1,141.648418
warp_shuffle,64,8192,0.026432,1,238.024212
warp_shuffle,64,16384,0.031520,1,399.204041
warp_shuffle,64,32768,0.054304,1,463.424867
warp_shuffle,64,65536,0.119712,1,420.439446
warp_shuffle,64,131072,0.219680,1,458.226956
blelloch,64,1024,0.024640,1,31.916884
blelloch,64,2048,0.027008,1,58.236965
blelloch,64,4096,0.032416,1,97.042445
blelloch,64,8192,0.044416,1,141.648418
blelloch,64,16384,0.064032,1,196.509735
blelloch,64,32768,0.110720,1,227.292483
blelloch,64,65536,0.227168,1,221.561353
blelloch,64,131072,0.437536,1,230.068602
hillis_steele,64,1024,0.022656,1,34.711865
hillis_steele,64,2048,0.024096,1,65.274903
hillis_steele,64,4096,0.026368,1,119.300973
hillis_steele,64,8192,0.030240,1,208.050799
hillis_steele,64,16384,0.043552,1,288.916972
hillis_steele,64,32768,0.074368,1,338.395869
hillis_steele,64,65536,0.156672,1,321.254900
hillis_steele,64,131072,0.295104,1,341.111259
warp_shuffle,256,1024,0.024480,1,128.501960
warp_shuffle,256,2048,0.024672,1,255.003894
warp_shuffle,256,4096,0.033888,1,371.308771
warp_shuffle,256,8192,0.052928,1,475.472787
warp_shuffle,256,16384,0.118112,1,426.134931
warp_shuffle,256,32768,0.219168,1,459.297400
warp_shuffle,256,65536,0.417472,1,482.251719
warp_shuffle,256,131072,0.821056,1,490.408912
blelloch,256,1024,0.033376,1,94.251196
blelloch,256,2048,0.044768,1,140.534673
blelloch,256,4096,0.063840,1,197.100746
blelloch,256,8192,0.111520,1,225.661980
blelloch,256,16384,0.228416,1,220.350803
blelloch,256,32768,0.438528,1,229.548160
blelloch,256,65536,0.850176,1,236.805788
blelloch,256,131072,2.037216,1,197.648749
hillis_steele,256,1024,0.024736,1,127.172056
hillis_steele,256,2048,0.032672,1,192.564158
hillis_steele,256,4096,0.045024,1,279.471215
hillis_steele,256,8192,0.075712,1,332.388830
hillis_steele,256,16384,0.155008,1,324.703544
hillis_steele,256,32768,0.293760,1,342.671893
hillis_steele,256,65536,0.570112,1,353.135166
hillis_steele,256,131072,1.302400,1,309.162459
warp_shuffle,512,1024,0.028512,1,220.659939
warp_shuffle,512,2048,0.035104,1,358.446682
warp_shuffle,512,4096,0.052512,1,479.239477
warp_shuffle,512,8192,0.116928,1,430.449932
warp_shuffle,512,16384,0.216832,1,464.245579
warp_shuffle,512,32768,0.415264,1,484.815893
warp_shuffle,512,65536,0.820480,1,490.753205
warp_shuffle,512,131072,1.625472,1,495.429262
blelloch,512,1024,0.043744,1,143.824428
blelloch,512,2048,0.064416,1,195.338305
blelloch,512,4096,0.112128,1,224.438362
blelloch,512,8192,0.226240,1,222.470161
blelloch,512,16384,0.436128,1,230.811363
blelloch,512,32768,0.852320,1,236.210095
blelloch,512,65536,1.682048,1,239.382701
blelloch,512,131072,3.394464,1,237.241097
hillis_steele,512,1024,0.031360,1,200.620406
hillis_steele,512,2048,0.046560,1,270.251543
hillis_steele,512,4096,0.076192,1,330.294838
hillis_steele,512,8192,0.153984,1,326.862853
hillis_steele,512,16384,0.294912,1,341.333321
hillis_steele,512,32768,0.568256,1,354.288533
hillis_steele,512,65536,1.121792,1,358.937485
hillis_steele,512,131072,2.425760,1,331.981052
