kernel,D,L,time_ms,throughput_GB_s
sequential,1,1024,0.0046,2.664
sequential,16,1024,0.0155,12.679
sequential,64,1024,0.0476,16.524
sequential,256,1024,0.2016,15.607
sequential,512,1024,0.4101,15.340
sequential,1,2048,0.0092,2.671
sequential,16,2048,0.0309,12.720
sequential,64,2048,0.1344,11.700
sequential,256,2048,0.5623,11.188
sequential,512,2048,0.8279,15.198
sequential,1,4096,0.0184,2.673
sequential,16,4096,0.0623,12.614
sequential,64,4096,0.2710,11.609
sequential,256,4096,1.1848,10.620
sequential,512,4096,1.7584,14.311
sequential,1,8192,0.0367,2.675
sequential,16,8192,0.1345,11.691
sequential,64,8192,0.5639,11.157
sequential,256,8192,2.5233,9.973
sequential,512,8192,4.0443,12.445
sequential,1,16384,0.0735,2.676
sequential,16,16384,0.2738,11.490
sequential,64,16384,1.1174,11.261
sequential,256,16384,5.8043,8.671
sequential,512,16384,9.5963,10.490
sequential,1,32768,0.1473,2.670
sequential,16,32768,0.5675,11.086
sequential,64,32768,2.3110,10.890
sequential,256,32768,9.0595,11.111
sequential,512,32768,18.7314,10.748
sequential,1,65536,0.2975,2.643
sequential,16,65536,1.1076,11.361
sequential,64,65536,5.4698,9.202
sequential,256,65536,18.7571,10.733
sequential,512,65536,37.6399,10.698
sequential,1,131072,0.6022,2.612
sequential,16,131072,2.3542,10.690
sequential,64,131072,9.3319,10.787
sequential,256,131072,37.8503,10.638
sequential,512,131072,76.3607,10.546
